column,value,precision,recall,fbeta
fnlgt,181388,1.0,1.0,1.0
fnlgt,32950,1.0,1.0,1.0
fnlgt,30035,1.0,1.0,1.0
fnlgt,72791,1.0,1.0,1.0
fnlgt,180667,1.0,1.0,1.0
fnlgt,170430,1.0,1.0,1.0
fnlgt,79586,1.0,1.0,1.0
fnlgt,133770,1.0,0.0,0.0
fnlgt,52372,1.0,1.0,1.0
fnlgt,246820,1.0,1.0,1.0
fnlgt,190514,1.0,1.0,1.0
fnlgt,158702,1.0,1.0,1.0
fnlgt,110243,1.0,1.0,1.0
fnlgt,176047,1.0,1.0,1.0
fnlgt,200289,1.0,1.0,1.0
fnlgt,188331,1.0,1.0,1.0
fnlgt,185800,1.0,1.0,1.0
fnlgt,253642,1.0,1.0,1.0
fnlgt,245211,1.0,1.0,1.0
fnlgt,212456,1.0,1.0,1.0
fnlgt,236873,1.0,1.0,1.0
fnlgt,163578,1.0,1.0,1.0
fnlgt,129497,1.0,0.0,0.0
fnlgt,170038,1.0,1.0,1.0
fnlgt,53812,1.0,1.0,1.0
fnlgt,57423,1.0,1.0,1.0
fnlgt,231554,1.0,1.0,1.0
fnlgt,238431,1.0,1.0,1.0
fnlgt,154863,1.0,1.0,1.0
fnlgt,20511,1.0,1.0,1.0
fnlgt,255237,1.0,1.0,1.0
fnlgt,265038,1.0,1.0,1.0
fnlgt,57066,1.0,1.0,1.0
fnlgt,117963,1.0,1.0,1.0
fnlgt,265917,1.0,0.0,0.0
fnlgt,96346,1.0,1.0,1.0
fnlgt,194259,1.0,1.0,1.0
fnlgt,166744,1.0,1.0,1.0
fnlgt,172822,1.0,1.0,1.0
fnlgt,206052,1.0,1.0,1.0
fnlgt,211798,1.0,1.0,1.0
fnlgt,208366,1.0,1.0,1.0
fnlgt,141245,1.0,1.0,1.0
fnlgt,163729,1.0,1.0,1.0
fnlgt,264503,1.0,1.0,1.0
fnlgt,170800,1.0,1.0,1.0
fnlgt,353012,1.0,1.0,1.0
fnlgt,135617,1.0,1.0,1.0
fnlgt,343447,1.0,1.0,1.0
fnlgt,258761,1.0,1.0,1.0
fnlgt,119684,1.0,1.0,1.0
fnlgt,187821,1.0,1.0,1.0
fnlgt,170861,1.0,1.0,1.0
fnlgt,349898,1.0,1.0,1.0
